_id,_visible,_version,_changeset,_timestamp,_user,_uid,_lat,_lon,tag/0/_k,tag/0/_v,tag/1/_k,tag/1/_v,tag/2/_k,tag/2/_v,tag/3/_k,tag/3/_v,tag/4/_k,tag/4/_v,tag/5/_k,tag/5/_v,tag/6/_k,tag/6/_v,tag/7/_k,tag/7/_v,tag/8/_k,tag/8/_v,tag/9/_k,tag/9/_v
253118432,true,4,68226700,2019-03-17T12:11:23Z,machiro,4480756,35.6161417,139.3411180,,,,,,,,,,,,,,,,,,,,
253118433,true,5,3492010,2009-12-30T17:40:54Z,techstrom,39534,35.6167844,139.3409844,,,,,,,,,,,,,,,,,,,,
253118434,true,4,3492010,2009-12-30T17:40:55Z,techstrom,39534,35.6184838,139.3408687,,,,,,,,,,,,,,,,,,,,
253118436,true,10,28245918,2015-01-19T06:26:17Z,futurumspes,651065,35.6198020,139.3409157,highway,traffic_signals,name,御殿峠南,name:en,Gotentoge minami,name:ja,御殿峠南,,,,,,,,,,,,
253118437,true,8,60730917,2018-07-15T12:33:42Z,芋けんぴ,5544581,35.6215572,139.3410306,ele,190,highway,yes,mountain_pass,yes,name,御殿峠,name:en,Goten pass,source,地理院地図　等高線,,,,,,,,
253118438,true,6,19577855,2013-12-22T08:50:05Z,InagakiM,133763,35.6221365,139.3408713,,,,,,,,,,,,,,,,,,,,
253118440,true,3,311832,2008-10-13T16:56:30Z,techstrom,39534,35.6245205,139.3389362,,,,,,,,,,,,,,,,,,,,
253118441,true,5,28245918,2015-01-19T06:26:17Z,futurumspes,651065,35.6250825,139.3384836,highway,traffic_signals,name,御殿峠第二,name:en,Gotento toge daini,name:ja,御殿峠第二,,,,,,,,,,,,
253118443,true,3,300627,2008-10-13T06:08:05Z,techstrom,39534,35.6265931,139.3371718,,,,,,,,,,,,,,,,,,,,
253118444,true,3,300627,2008-10-13T06:08:03Z,techstrom,39534,35.6269771,139.3369332,,,,,,,,,,,,,,,,,,,,
253118446,true,3,43183980,2016-10-26T07:25:38Z,puru55,4647082,35.6277360,139.3368551,,,,,,,,,,,,,,,,,,,,
253118447,true,4,765749,2008-11-18T06:25:37Z,techstrom,39534,35.6281433,139.3369666,,,,,,,,,,,,,,,,,,,,
253118448,true,3,781764,2008-11-22T16:58:32Z,techstrom,39534,35.6292335,139.3374304,,,,,,,,,,,,,,,,,,,,
253118449,true,3,781764,2008-11-22T16:58:31Z,techstrom,39534,35.6324673,139.3387017,,,,,,,,,,,,,,,,,,,,
253118450,true,3,781764,2008-11-22T16:58:30Z,techstrom,39534,35.6327155,139.3387217,,,,,,,,,,,,,,,,,,,,
253118451,true,3,781764,2008-11-22T16:58:29Z,techstrom,39534,35.6339734,139.3386709,,,,,,,,,,,,,,,,,,,,
253118452,true,2,781764,2008-11-22T16:58:28Z,techstrom,39534,35.6343762,139.3386922,,,,,,,,,,,,,,,,,,,,
253118453,true,3,17759055,2013-09-09T23:31:21Z,Ryo-a,631141,35.6367086,139.3393269,,,,,,,,,,,,,,,,,,,,
253119951,true,3,3744744,2010-01-29T17:11:04Z,MontBlanc,38015,35.6391872,139.3518045,,,,,,,,,,,,,,,,,,,,
253119952,true,3,3744744,2010-01-29T17:11:04Z,MontBlanc,38015,35.6380817,139.3513555,,,,,,,,,,,,,,,,,,,,
253119953,true,3,3744744,2010-01-29T17:11:04Z,MontBlanc,38015,35.6350650,139.3489038,,,,,,,,,,,,,,,,,,,,
253119954,true,2,361375,2008-03-21T04:28:13Z,ma-kun,29738,35.6341144,139.3482387,,,,,,,,,,,,,,,,,,,,
253119955,true,4,3744744,2010-01-29T17:11:04Z,MontBlanc,38015,35.6336632,139.3480265,,,,,,,,,,,,,,,,,,,,
253119956,true,2,676346,2008-09-21T15:17:49Z,techstrom,39534,35.6331490,139.3479510,,,,,,,,,,,,,,,,,,,,
253119957,true,3,350759,2008-10-15T17:53:39Z,techstrom,39534,35.6326918,139.3479813,,,,,,,,,,,,,,,,,,,,
253119958,true,5,36196355,2015-12-27T15:05:32Z,yoshitk,1003241,35.6301210,139.3488636,,,,,,,,,,,,,,,,,,,,
253119959,true,4,36196355,2015-12-27T15:05:32Z,yoshitk,1003241,35.6289593,139.3489306,,,,,,,,,,,,,,,,,,,,
253119960,true,4,36196355,2015-12-27T15:05:32Z,yoshitk,1003241,35.6282635,139.3487564,,,,,,,,,,,,,,,,,,,,
253119961,true,3,5096947,2010-06-28T11:50:28Z,techstrom,39534,35.6235337,139.3462703,,,,,,,,,,,,,,,,,,,,
253119962,true,2,5096947,2010-06-28T11:50:28Z,techstrom,39534,35.6230356,139.3461115,,,,,,,,,,,,,,,,,,,,
253119963,true,5,69685261,2019-04-29T08:05:56Z,Otenkiya,4702051,35.6198250,139.3454300,abandoned:barrier,toll_booth,abandoned:name,御殿山料金所,,,,,,,,,,,,,,,,
253119964,true,1,361375,2008-03-21T04:27:20Z,ma-kun,29738,35.6189360,139.3449120,,,,,,,,,,,,,,,,,,,,
253119965,true,3,5096947,2010-06-28T11:50:27Z,techstrom,39534,35.6177912,139.3437900,highway,motorway_junction,layer,2,name,遣水,,,,,,,,,,,,,,
253119966,true,4,17753188,2013-09-09T16:45:51Z,Ryo-a,631141,35.6167480,139.3423980,,,,,,,,,,,,,,,,,,,,
253119996,true,5,5327494,2010-07-27T09:06:57Z,techstrom,39534,35.6301133,139.3487345,,,,,,,,,,,,,,,,,,,,
253119997,true,4,5327494,2010-07-27T09:06:58Z,techstrom,39534,35.6336685,139.3479200,,,,,,,,,,,,,,,,,,,,
253119998,true,4,5327494,2010-07-27T09:06:57Z,techstrom,39534,35.6322981,139.3479953,,,,,,,,,,,,,,,,,,,,
262596567,true,5,3744744,2010-01-29T17:11:03Z,MontBlanc,38015,35.6306978,139.3486915,,,,,,,,,,,,,,,,,,,,
262596568,true,4,36196355,2015-12-27T15:05:32Z,yoshitk,1003241,35.6296546,139.3489702,,,,,,,,,,,,,,,,,,,,
262596569,true,4,36196355,2015-12-27T15:05:32Z,yoshitk,1003241,35.6294111,139.3489754,,,,,,,,,,,,,,,,,,,,
262596570,true,4,5327494,2010-07-27T09:06:57Z,techstrom,39534,35.6294506,139.3488543,,,,,,,,,,,,,,,,,,,,
262596571,true,4,5327494,2010-07-27T09:06:57Z,techstrom,39534,35.6298441,139.3488054,,,,,,,,,,,,,,,,,,,,
266664988,true,9,68226499,2019-03-17T12:01:35Z,machiro,4480756,35.6138266,139.3426107,highway,traffic_signals,name,遣水,name:en,Yarimizu,name:ja,遣水,,,,,,,,,,,,
266671972,true,8,36196355,2015-12-27T15:05:32Z,yoshitk,1003241,35.6315527,139.3452980,highway,traffic_signals,name,市立片倉台小,,,,,,,,,,,,,,,,
266678200,true,3,20212960,2014-01-26T18:43:26Z,InagakiM,133763,35.6213283,139.3447527,,,,,,,,,,,,,,,,,,,,
266678201,true,4,20212960,2014-01-26T18:43:26Z,InagakiM,133763,35.6213821,139.3445534,,,,,,,,,,,,,,,,,,,,
266678202,true,3,20212960,2014-01-26T18:43:26Z,InagakiM,133763,35.6215923,139.3442203,,,,,,,,,,,,,,,,,,,,
266678203,true,3,20212960,2014-01-26T18:43:26Z,InagakiM,133763,35.6218374,139.3436938,,,,,,,,,,,,,,,,,,,,
266678204,true,2,20212960,2014-01-26T18:43:26Z,InagakiM,133763,35.6220231,139.3428003,,,,,,,,,,,,,,,,,,,,
266678205,true,4,20212960,2014-01-26T18:43:26Z,InagakiM,133763,35.6219902,139.3426245,,,,,,,,,,,,,,,,,,,,
266678206,true,2,20212960,2014-01-26T18:43:26Z,InagakiM,133763,35.6212738,139.3412059,,,,,,,,,,,,,,,,,,,,
266678207,true,3,20212960,2014-01-26T18:43:26Z,InagakiM,133763,35.6212547,139.3411377,,,,,,,,,,,,,,,,,,,,
266947831,true,7,42532087,2016-09-30T02:03:46Z,puru55,4647082,35.6309134,139.3381349,highway,traffic_signals,name,片倉高校前,name:en,Katakura koko mae,name:ja,片倉高校前,,,,,,,,,,,,
266947919,true,2,19577855,2013-12-22T08:50:05Z,InagakiM,133763,35.6267445,139.3305537,,,,,,,,,,,,,,,,,,,,
266947921,true,2,19577855,2013-12-22T08:50:05Z,InagakiM,133763,35.6267255,139.3308307,,,,,,,,,,,,,,,,,,,,
266947923,true,2,19577855,2013-12-22T08:50:05Z,InagakiM,133763,35.6262077,139.3329127,,,,,,,,,,,,,,,,,,,,
266947925,true,2,19577855,2013-12-22T08:50:05Z,InagakiM,133763,35.6260065,139.3334389,,,,,,,,,,,,,,,,,,,,
266947927,true,2,19577855,2013-12-22T08:50:05Z,InagakiM,133763,35.6255009,139.3342642,,,,,,,,,,,,,,,,,,,,
266947929,true,3,19577855,2013-12-22T08:50:05Z,InagakiM,133763,35.6249085,139.3348683,,,,,,,,,,,,,,,,,,,,
266947931,true,2,19577855,2013-12-22T08:50:05Z,InagakiM,133763,35.6239420,139.3357797,,,,,,,,,,,,,,,,,,,,
266947933,true,3,19577855,2013-12-22T08:50:05Z,InagakiM,133763,35.6237876,139.3360018,,,,,,,,,,,,,,,,,,,,
266947935,true,3,19577855,2013-12-22T08:50:05Z,InagakiM,133763,35.6235820,139.3364484,,,,,,,,,,,,,,,,,,,,
266947937,true,4,19577855,2013-12-22T08:50:05Z,InagakiM,133763,35.6234706,139.3375035,,,,,,,,,,,,,,,,,,,,
266947939,true,2,19577855,2013-12-22T08:50:05Z,InagakiM,133763,35.6236261,139.3380799,,,,,,,,,,,,,,,,,,,,
266947941,true,2,19577855,2013-12-22T08:50:05Z,InagakiM,133763,35.6238184,139.3384528,,,,,,,,,,,,,,,,,,,,
266947943,true,7,28245918,2015-01-19T06:26:18Z,futurumspes,651065,35.6242211,139.3391821,highway,traffic_signals,name,東京工科大前,name:en,Tokyo koka daigaku,name:ja,東京工科大前,note:ja,ここからは一般車は入れません（スクールバスとバイクのみ）,,,,,,,,,,
267332337,true,5,810088,2008-11-29T03:23:38Z,techstrom,39534,35.6258520,139.3442044,,,,,,,,,,,,,,,,,,,,
267332338,true,4,810088,2008-11-29T03:23:38Z,techstrom,39534,35.6258657,139.3440935,,,,,,,,,,,,,,,,,,,,
267332339,true,5,810088,2008-11-29T03:23:38Z,techstrom,39534,35.6256253,139.3436493,,,,,,,,,,,,,,,,,,,,
267332340,true,5,810088,2008-11-29T03:23:38Z,techstrom,39534,35.6256258,139.3435822,,,,,,,,,,,,,,,,,,,,
267332341,true,6,810088,2008-11-29T03:23:38Z,techstrom,39534,35.6256527,139.3435178,,,,,,,,,,,,,,,,,,,,
267332342,true,4,810088,2008-11-29T03:23:38Z,techstrom,39534,35.6266884,139.3426182,,,,,,,,,,,,,,,,,,,,
267332343,true,4,810088,2008-11-29T03:23:39Z,techstrom,39534,35.6267485,139.3425979,,,,,,,,,,,,,,,,,,,,
267332344,true,4,810088,2008-11-29T03:23:39Z,techstrom,39534,35.6268091,139.3425989,,,,,,,,,,,,,,,,,,,,
267332345,true,4,810088,2008-11-29T03:23:39Z,techstrom,39534,35.6268554,139.3425989,,,,,,,,,,,,,,,,,,,,
267332346,true,2,92985,2008-10-06T09:50:40Z,techstrom,39534,35.6278371,139.3417554,,,,,,,,,,,,,,,,,,,,
267332347,true,2,92985,2008-10-06T09:50:41Z,techstrom,39534,35.6278813,139.3416650,,,,,,,,,,,,,,,,,,,,
267332348,true,2,92985,2008-10-06T09:50:45Z,techstrom,39534,35.6278922,139.3415581,,,,,,,,,,,,,,,,,,,,
267332349,true,2,92985,2008-10-06T09:50:46Z,techstrom,39534,35.6278727,139.3414361,,,,,,,,,,,,,,,,,,,,
267332350,true,2,765749,2008-11-18T06:26:27Z,techstrom,39534,35.6263808,139.3388901,,,,,,,,,,,,,,,,,,,,
267332351,true,4,765749,2008-11-18T06:25:33Z,techstrom,39534,35.6272931,139.3378782,,,,,,,,,,,,,,,,,,,,
267332352,true,6,765749,2008-11-18T06:26:23Z,techstrom,39534,35.6275469,139.3376310,,,,,,,,,,,,,,,,,,,,
267332361,true,4,111141,2008-10-06T11:07:44Z,techstrom,39534,35.6251075,139.3437511,,,,,,,,,,,,,,,,,,,,
267332363,true,5,810088,2008-11-29T03:23:38Z,techstrom,39534,35.6255378,139.3444796,,,,,,,,,,,,,,,,,,,,
267332412,true,4,765749,2008-11-18T06:26:14Z,techstrom,39534,35.6275614,139.3377268,,,,,,,,,,,,,,,,,,,,
267332413,true,4,765749,2008-11-18T06:26:13Z,techstrom,39534,35.6276904,139.3377868,,,,,,,,,,,,,,,,,,,,
267332414,true,3,765749,2008-11-18T06:26:16Z,techstrom,39534,35.6277356,139.3377774,,,,,,,,,,,,,,,,,,,,
267332415,true,5,765749,2008-11-18T06:26:15Z,techstrom,39534,35.6279921,139.3374460,,,,,,,,,,,,,,,,,,,,
267332416,true,4,765749,2008-11-18T06:26:03Z,techstrom,39534,35.6279800,139.3373617,,,,,,,,,,,,,,,,,,,,
267332417,true,4,765749,2008-11-18T06:26:06Z,techstrom,39534,35.6279688,139.3372717,,,,,,,,,,,,,,,,,,,,
267332418,true,3,765749,2008-11-18T06:26:02Z,techstrom,39534,35.6279579,139.3371764,,,,,,,,,,,,,,,,,,,,
267336802,true,6,68226626,2019-03-17T12:08:08Z,machiro,4480756,35.6166369,139.3410069,,,,,,,,,,,,,,,,,,,,
267337463,true,3,5327494,2010-07-27T09:06:55Z,techstrom,39534,35.6181272,139.3439621,,,,,,,,,,,,,,,,,,,,
267337478,true,10,68230074,2019-03-17T14:45:37Z,machiro,4480756,35.6157620,139.3412930,highway,traffic_signals,name,遣水北,name:en,Yarimizu kita,name:ja,遣水北,,,,,,,,,,,,
267348552,true,3,20212960,2014-01-26T18:43:26Z,InagakiM,133763,35.6212852,139.3451782,,,,,,,,,,,,,,,,,,,,
267348624,true,4,765749,2008-11-18T06:26:24Z,techstrom,39534,35.6264679,139.3387924,,,,,,,,,,,,,,,,,,,,
270852062,true,1,191397,2008-06-17T03:07:22Z,MontBlanc,38015,35.6265054,139.3478095,,,,,,,,,,,,,,,,,,,,
270852063,true,2,5096947,2010-06-28T11:50:28Z,techstrom,39534,35.6211506,139.3457340,,,,,,,,,,,,,,,,,,,,
270852085,true,1,191397,2008-06-17T03:07:34Z,MontBlanc,38015,35.6193611,139.3451807,,,,,,,,,,,,,,,,,,,,
270852137,true,1,191397,2008-06-17T03:08:11Z,MontBlanc,38015,35.6184191,139.3444941,,,,,,,,,,,,,,,,,,,,
270852247,true,2,759110,2008-11-17T04:38:18Z,techstrom,39534,35.6150447,139.3417493,,,,,,,,,,,,,,,,,,,,
274300628,true,13,70004005,2019-05-08T02:21:46Z,techstrom,39534,35.6265995,139.3418580,brand,セブンイレブン,name,セブンイレブン,name:en,Seven Eleven,name:ja,セブンイレブン,name:ja_rm,sebun irebun,shop,convenience,,,,,,,,
277880572,true,3,765749,2008-11-18T06:26:09Z,techstrom,39534,35.6290098,139.3378768,,,,,,,,,,,,,,,,,,,,
277880573,true,2,6954669,2011-01-13T07:53:35Z,techstrom,39534,35.6280589,139.3410782,,,,,,,,,,,,,,,,,,,,
277880574,true,2,508583,2008-07-16T17:06:41Z,techstrom,39534,35.6278653,139.3421844,,,,,,,,,,,,,,,,,,,,
277880575,true,3,48315,2008-10-03T02:31:04Z,techstrom,39534,35.6287718,139.3426577,,,,,,,,,,,,,,,,,,,,
277880576,true,2,36196355,2015-12-27T15:05:33Z,yoshitk,1003241,35.6268798,139.3447339,,,,,,,,,,,,,,,,,,,,
277880577,true,4,36196355,2015-12-27T15:05:33Z,yoshitk,1003241,35.6273894,139.3454268,,,,,,,,,,,,,,,,,,,,
277880578,true,2,508583,2008-07-16T17:08:52Z,techstrom,39534,35.6270421,139.3459609,,,,,,,,,,,,,,,,,,,,
277880579,true,1,466276,2008-07-12T10:13:57Z,techstrom,39534,35.6263975,139.3464452,,,,,,,,,,,,,,,,,,,,
277880580,true,1,466276,2008-07-12T10:13:57Z,techstrom,39534,35.6261184,139.3465396,,,,,,,,,,,,,,,,,,,,
277880581,true,1,466276,2008-07-12T10:13:57Z,techstrom,39534,35.6257417,139.3465567,,,,,,,,,,,,,,,,,,,,
277880582,true,1,466276,2008-07-12T10:13:57Z,techstrom,39534,35.6253161,139.3465482,,,,,,,,,,,,,,,,,,,,
277880583,true,1,466276,2008-07-12T10:13:57Z,techstrom,39534,35.6250859,139.3463851,,,,,,,,,,,,,,,,,,,,
277880584,true,1,466276,2008-07-12T10:13:57Z,techstrom,39534,35.6249673,139.3461705,,,,,,,,,,,,,,,,,,,,
277880585,true,1,466276,2008-07-12T10:13:57Z,techstrom,39534,35.6248417,139.3458873,,,,,,,,,,,,,,,,,,,,
277880586,true,1,466276,2008-07-12T10:13:57Z,techstrom,39534,35.6247301,139.3454581,,,,,,,,,,,,,,,,,,,,
277880587,true,1,466276,2008-07-12T10:13:57Z,techstrom,39534,35.6245138,139.3450461,,,,,,,,,,,,,,,,,,,,
277880588,true,1,466276,2008-07-12T10:13:57Z,techstrom,39534,35.6242138,139.3446770,,,,,,,,,,,,,,,,,,,,
277880589,true,1,466276,2008-07-12T10:13:57Z,techstrom,39534,35.6239626,139.3443337,,,,,,,,,,,,,,,,,,,,
277880590,true,1,466276,2008-07-12T10:13:57Z,techstrom,39534,35.6237603,139.3442050,,,,,,,,,,,,,,,,,,,,
277880591,true,1,466276,2008-07-12T10:13:57Z,techstrom,39534,35.6235998,139.3442050,,,,,,,,,,,,,,,,,,,,
277880592,true,1,466276,2008-07-12T10:13:57Z,techstrom,39534,35.6234254,139.3439389,,,,,,,,,,,,,,,,,,,,
277880593,true,1,466276,2008-07-12T10:13:57Z,techstrom,39534,35.6232719,139.3437501,,,,,,,,,,,,,,,,,,,,
277880594,true,1,466276,2008-07-12T10:13:57Z,techstrom,39534,35.6232719,139.3434325,,,,,,,,,,,,,,,,,,,,
277880595,true,2,4771552,2010-05-22T05:42:28Z,techstrom,39534,35.6234007,139.3431826,,,,,,,,,,,,,,,,,,,,
277880596,true,2,4771552,2010-05-22T05:42:28Z,techstrom,39534,35.6235077,139.3429921,,,,,,,,,,,,,,,,,,,,
277880597,true,2,4771552,2010-05-22T05:42:31Z,techstrom,39534,35.6235426,139.3428041,,,,,,,,,,,,,,,,,,,,
277880598,true,1,466276,2008-07-12T10:13:57Z,techstrom,39534,35.6235440,139.3425570,,,,,,,,,,,,,,,,,,,,
277880599,true,1,466276,2008-07-12T10:13:57Z,techstrom,39534,35.6233975,139.3423682,,,,,,,,,,,,,,,,,,,,
277880600,true,1,466276,2008-07-12T10:13:57Z,techstrom,39534,35.6231882,139.3420935,,,,,,,,,,,,,,,,,,,,
277880602,true,1,466276,2008-07-12T10:13:57Z,techstrom,39534,35.6230138,139.3419390,,,,,,,,,,,,,,,,,,,,
277880603,true,1,466276,2008-07-12T10:13:57Z,techstrom,39534,35.6228045,139.3417331,,,,,,,,,,,,,,,,,,,,
277880604,true,1,466276,2008-07-12T10:13:57Z,techstrom,39534,35.6226928,139.3416129,,,,,,,,,,,,,,,,,,,,
277880605,true,1,466276,2008-07-12T10:13:57Z,techstrom,39534,35.6223231,139.3409005,,,,,,,,,,,,,,,,,,,,
277880606,true,1,466276,2008-07-12T10:13:57Z,techstrom,39534,35.6231114,139.3403426,,,,,,,,,,,,,,,,,,,,
277880607,true,2,605698,2008-07-27T14:53:34Z,techstrom,39534,35.6243333,139.3392411,,,,,,,,,,,,,,,,,,,,
277880608,true,2,605698,2008-07-27T14:53:34Z,techstrom,39534,35.6250658,139.3387090,,,,,,,,,,,,,,,,,,,,
277880609,true,2,605698,2008-07-27T14:53:34Z,techstrom,39534,35.6260705,139.3378249,,,,,,,,,,,,,,,,,,,,
277880610,true,2,605698,2008-07-27T14:53:34Z,techstrom,39534,35.6269425,139.3371125,,,,,,,,,,,,,,,,,,,,
277880611,true,2,605698,2008-07-27T14:53:34Z,techstrom,39534,35.6276123,139.3369237,,,,,,,,,,,,,,,,,,,,
277880612,true,2,765749,2008-11-18T06:25:35Z,techstrom,39534,35.6279881,139.3370338,,,,,,,,,,,,,,,,,,,,
277880613,true,2,765749,2008-11-18T06:25:36Z,techstrom,39534,35.6281696,139.3371089,,,,,,,,,,,,,,,,,,,,
277880751,true,5,347757,2008-10-15T14:45:40Z,techstrom,39534,35.6271648,139.3403342,,,,,,,,,,,,,,,,,,,,
277881335,true,3,345853,2008-10-15T10:58:19Z,techstrom,39534,35.6237425,139.3411382,,,,,,,,,,,,,,,,,,,,
277881336,true,1,466276,2008-07-12T10:19:29Z,techstrom,39534,35.6237045,139.3411837,,,,,,,,,,,,,,,,,,,,
277881337,true,2,4771552,2010-05-22T05:42:31Z,techstrom,39534,35.6236512,139.3411956,,,,,,,,,,,,,,,,,,,,
277881338,true,2,4771552,2010-05-22T05:42:31Z,techstrom,39534,35.6235979,139.3411874,,,,,,,,,,,,,,,,,,,,
277881339,true,2,4771552,2010-05-22T05:42:30Z,techstrom,39534,35.6235653,139.3411785,,,,,,,,,,,,,,,,,,,,
277881340,true,2,4771552,2010-05-22T05:42:31Z,techstrom,39534,35.6235302,139.3411814,,,,,,,,,,,,,,,,,,,,
277881341,true,2,4771552,2010-05-22T05:42:28Z,techstrom,39534,35.6234779,139.3412217,,,,,,,,,,,,,,,,,,,,
277881342,true,2,4771552,2010-05-22T05:42:29Z,techstrom,39534,35.6234458,139.3413129,,,,,,,,,,,,,,,,,,,,
277881343,true,2,4771552,2010-05-22T05:42:28Z,techstrom,39534,35.6234128,139.3413525,,,,,,,,,,,,,,,,,,,,
277881344,true,2,4771552,2010-05-22T05:42:29Z,techstrom,39534,35.6233188,139.3414180,,,,,,,,,,,,,,,,,,,,
277881345,true,2,4771552,2010-05-22T05:42:27Z,techstrom,39534,35.6232444,139.3414536,,,,,,,,,,,,,,,,,,,,
277881346,true,2,4771552,2010-05-22T05:42:28Z,techstrom,39534,35.6232075,139.3414398,,,,,,,,,,,,,,,,,,,,
277881347,true,2,4771552,2010-05-22T05:42:31Z,techstrom,39534,35.6231905,139.3413757,,,,,,,,,,,,,,,,,,,,
277881348,true,2,4771552,2010-05-22T05:42:31Z,techstrom,39534,35.6231844,139.3413293,,,,,,,,,,,,,,,,,,,,
277881349,true,2,4771552,2010-05-22T05:42:30Z,techstrom,39534,35.6231559,139.3413273,,,,,,,,,,,,,,,,,,,,
277881350,true,2,4771552,2010-05-22T05:42:31Z,techstrom,39534,35.6231280,139.3413693,,,,,,,,,,,,,,,,,,,,
277881351,true,2,4771552,2010-05-22T05:42:29Z,techstrom,39534,35.6230981,139.3414212,,,,,,,,,,,,,,,,,,,,
277881352,true,2,4771552,2010-05-22T05:42:29Z,techstrom,39534,35.6230554,139.3415535,,,,,,,,,,,,,,,,,,,,
277881353,true,2,4771552,2010-05-22T05:42:28Z,techstrom,39534,35.6229996,139.3416904,,,,,,,,,,,,,,,,,,,,
277881354,true,2,4771552,2010-05-22T05:42:28Z,techstrom,39534,35.6230257,139.3417735,,,,,,,,,,,,,,,,,,,,
277881355,true,2,4771552,2010-05-22T05:42:31Z,techstrom,39534,35.6232445,139.3419971,,,,,,,,,,,,,,,,,,,,
277881356,true,1,466276,2008-07-12T10:19:29Z,techstrom,39534,35.6233975,139.3421279,,,,,,,,,,,,,,,,,,,,
277881357,true,2,4771552,2010-05-22T05:42:30Z,techstrom,39534,35.6235056,139.3422167,,,,,,,,,,,,,,,,,,,,
277881358,true,2,4771552,2010-05-22T05:42:31Z,techstrom,39534,35.6235551,139.3422609,,,,,,,,,,,,,,,,,,,,
277881359,true,2,4771552,2010-05-22T05:42:29Z,techstrom,39534,35.6235966,139.3423328,,,,,,,,,,,,,,,,,,,,
277881360,true,2,4771552,2010-05-22T05:42:28Z,techstrom,39534,35.6236150,139.3423647,,,,,,,,,,,,,,,,,,,,
277881361,true,2,4771552,2010-05-22T05:42:31Z,techstrom,39534,35.6236242,139.3424390,,,,,,,,,,,,,,,,,,,,
277881362,true,2,4771552,2010-05-22T05:42:27Z,techstrom,39534,35.6236515,139.3425019,,,,,,,,,,,,,,,,,,,,
277881363,true,2,4771552,2010-05-22T05:42:30Z,techstrom,39534,35.6236719,139.3425462,,,,,,,,,,,,,,,,,,,,
277881364,true,2,4771552,2010-05-22T05:42:31Z,techstrom,39534,35.6236691,139.3426282,,,,,,,,,,,,,,,,,,,,
277881365,true,2,4771552,2010-05-22T05:42:29Z,techstrom,39534,35.6236586,139.3427576,,,,,,,,,,,,,,,,,,,,
277881366,true,2,4771552,2010-05-22T05:42:30Z,techstrom,39534,35.6236289,139.3428313,,,,,,,,,,,,,,,,,,,,
277881367,true,2,4771552,2010-05-22T05:42:28Z,techstrom,39534,35.6236014,139.3429045,,,,,,,,,,,,,,,,,,,,
